Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,min_salary,max_salary,avg_salary,city,state,same_state,company_age,job_tag,job_level,num_competitors
Data Scientist 3,56-97 ,"Data Scientist 3, Ann Arbor, Michigan Our direct client is one of the fortune 500 companies, based out of Ann Arbor, Michigan They are currently in urgent need of Data Scientist 3 Job Description Job Posting Title Data Scientist 3 Duration 6 months WFH till allowed to be back onsite Location - Ann Arbor, Michigan Required skills- Statistical Analysis Machine Learning Software Skills Python Develop and test Technical Skills Predictive Engineering Models Day to day building models, predictive models, Be an individual contributor Data mining scripting Machine learning deep learning some Enovia knowledge Language Python, SQL Job description - Produce innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets. Apply knowledge of statistics, machine learning, programming, data modeling, simulation, and advanced mathematics to recognize patterns, identify opportunities, pose business questions, and make valuable discoveries leading to prototype development and product improvement. Use a flexible, analytical approach to design, develop, and evaluate predictive models and advanced algorithms that lead to optimal value extraction from the data. Generate and test hypotheses and analyze and interpret the results of product experiments. Work with product engineers to translate prototypes into new products, services, and features and provide guidelines for large-scale implementation. Career-Level position within field. Considered highly skilled and proficient in discipline. Conducts complex work important to the organization. Works under minimal supervision with wide latitude for independent judgment. We love to hear from you! Please click apply with your most current resume and anything else you lsquod like us to know about you. You should also feel free to call Pramod Kamti at my Direct no. 408-739-4900 or email him at pramod.kmaxonic.comInterested in Applying?",4.5,"Maxonic, Inc.","Ann Arbor, MI","Campbell, CA",51 to 200 employees,2002,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,56,97,76.5,Ann Arbor, MI,0,18,data scientist,n/a,0
PhD or Senior Healthcare Data Analytics Data Scientist,56-97 ,"Job Description
PhD or Senior Healthcare Data Analytics Data Scientist

PhD candidates with specific healthcare experience or a Masters with 5 years healthcare experienced folks only please.

This is a Direct Hire/FTE salaried opportunity in Columbus, Ohio.

NO third parties and NO corp-to-corp please.

EAD/OPT and H1B candidates eligible!

Do you consider yourself a Data Scientist? Do you have a PhD in Statistics, Mathematics, Biostats, Computer Science, or something comparable? Do you love statistics and the manipulation of data? Are you interested in true Big Data environments? Do you have a solid experience with ""R"" or Python development background? Are you experienced with enterprise level process and procedures? This opportunity with one of Columbus, Ohio best known enterprises may be a great option for you to consider. A recent expansion in their practice has caused a need for ""A"" players. Is this you?

You will be working on a truly collaborative team.

Company:
Extremely friendly and employee-centric atmosphere
Lots of room for growth, development, educational opportunities
New development
Always use the latest / emerging technologies ""Work/Life balance ""Company paid Pension ""Health insurance ""Dental insurance ""Vision insurance ""Paid Time Off ""Paid holidays Primary Role: statistical and machine learning methods applied to predictive analytics problems in the healthcare space ""R"", SQL, and statistical software experience (ex. SAS/SPSS, etc.) Must have Clinical/Research/Academic -centric current experience Not interested in business (financial services/retail/manufacturing minded analysts) focused professionals.

Ph.D or Masters only.

Heavy research, clinical, or academia projects will be considered.

Heavy on statistical modeling, R, python and statistical software package (ex.SAS/SPSS, etc.) experience

Requirements:
5+ years of experience in statistical modeling (the more the better!)
PhD degrees highly preferred but experience trumps all! (Statistics and/or Computer Science areas are best)
SQL and pl/sql
R , python, and something similar to MATLAB, SAS experience
Machine Learning exposure
Object oriented programming language knowledge/experience (Java/Python)
Ability to work independently
Strong problem-solving skills
Willingness to work with new technologies
Next steps: Call me to discuss your background and more importantly, your future goals!

Oh, and by the way.... Please send your resumes to:

Tom Gaebelein

(614) 246-8512 *OR* (440) 627-6925 x125

tom@emeraldresourcegroup.com",4.2,Emerald Resource Group,"Columbus, OH","Broadview Heights, OH",1 to 50 employees,1997,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,0,56,97,76.5,Columbus, OH,0,23,data scientist,Experienced,0
Senior Data Scientist,56-97 ,"Senior Data Scientist
Location/City: Any US location (offices in Atlanta, GA and Playa Vista, CA)

Responsibilities
We are looking for a sharp, highly-motivated Senior Data Scientist to join our team. This is a high-impact role that will leverage data & analytics to derive insights from our Members’ data and make recommendations to help improve their financial wellbeing. You will collaborate with product, and engineering as well as executive stakeholders to create analytical solutions to help achieve business goals. An ideal candidate is an individual who has a deep background in statistics, analysis, experiment design, and can bring those skills to bear in a start-up environment. A strong understanding and hands-on ability with data science technology and infrastructure is important as well.
As the Senior Data Scientist, you will:
Work with large volumes of bank transactions to create proprietary intelligence about the nature of employment and earnings for our Members
Help build out our job recommendation engine to aid our Members in finding new or additional work to increase their income
Help drive a data-first culture where data is understood and leveraged in decision making
Collaborate with the data science team and CDO to define the technical strategy for Steady’s data science ecosystem
Develop and codify processes and best practices for modeling, testing, and analytics
Effectively balance short term delivery with long term direction and value
Advocate for data science innovation and increased contribution to Steady’s mission

Skills & Requirements
Advanced degree and relevant experience (MS + 5 years, PhD + 3 years) in statistics, mathematics, computer science, or similar field
Demonstrated experience creating production ML pipelines (training, scoring, leveraging in real-time systems)
Expert knowledge of modern machine learning algorithms (regression, classification, random forests, clustering, optimization, etc.) and statistical inference
Experience with bank or credit card transaction data preferred
Experience with NLP and textual data analysis is a plus
Demonstrated experience of efficient manipulation and storage of large datasets
Hands on experience and expertise with SQL, Spark, Python (preferred) or R
Experience with machine learning platforms Sagemaker/Databricks a plus
Strong data visualization skills (experience with Tableau preferred)
Familiarity and experience with the AWS data ecosystem (S3, AWS Glue, EMR, etc.)
Excellent verbal and written communication skills with the ability to interact at all levels of the organization
Comfortable working with distributed teams across multiple offices and timezones
Ability to thrive in a fast-paced, entrepreneurial, high-energy environment


Benefits
We value our Steady Team Members and are committed to their success. We are located in downtown Atlanta near MARTA, as well as in Playa Vista CA. We offer competitive compensation packages and a 100% company-paid benefits package including medical, dental, and vision. Steady is a relaxed, casual work environment with flexible hours and lunch provided once weekly in addition to a weekly meal stipend. We also offer a generous PTO plan, 401K, and future growth opportunities within the company. We strive to maintain a positive and fun environment for our employees where people can learn and grow with the company.
About Steady
Steady is a mission-driven business that helps people earn more. Through the free Steady app users can build & track income, networks, and buying power – allowing them to augment retirement savings, work around childcare responsibilities, pay down debt, save for purchases, and supplement their income from primary employers, while limiting their income volatility and better positioning themselves for access to a sustainable financial services ecosystem.
Every Steady member will build something different. We celebrate those who take the initiative to create a path that works for them. Whatever that looks like, Steady is there to support it, providing a stable foundation that allows people to build financial success over a lifetime.

Mission: Steady turns the tables by putting workers back in charge of their financial future with an income-building platform that creates financial stability and helps its users to take charge of their future.

For more information, visit us at www.steadyapp.com or on Twitter @TheSteadyApp.

Steady, Platform Inc. (Steady) is an Equal Employment Opportunity employer – All qualified applicants/employees will receive consideration for employment without regard to that individual’s age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.
Statement to ALL Third-Party Agencies and Similar Organizations: Steady accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Steady employees, Steady hiring manager, or send to any Steady facility. Steady is not responsible for any fees or charges associated with unsolicited resumes.",3.6,Steady,"Los Angeles, CA","Atlanta, GA",1 to 50 employees,2017,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,0,56,97,76.5,Los Angeles, CA,0,3,data scientist,Experienced,0
VP - Data Scientist,56-97 ,"The VP Data Scientist is an individual contributor that should be able to apply quantitative, data science and analytical skills to complex problems. He/or she should be able to work across teams to design, develop, and evaluate and execute against those data science and analytical solutions with a keen functional understanding of the business problem. He/she will be responsible for data wrangling, data analysis, modeling, including model selection and producing quick applicable modeling solutions.The position will serve as a thought leader including advising on optimal solutions and opining on challenger models. The role works on strategic, highly visible projects firm wide. It is an opportunity to have meaningful impact on a large scale at a leading financial services firm. The role will develop data-centric solutions that move the bottom line for the firm.In Corporate Technology Machine Learning at JPMorgan Chase, our charter is to solve challenging business problems through machine learning across not only all the corporate functions, but also the four core operating segments of the bank. The challenges involve but are not limited to automating business processes, better decision making and improving operational efficiency. A diverse set of machine learning techniques can be employed - for example, decision trees/random forests/GBM; Natural Language Processing and Generation (NLP/NLG); Text Mining.This role requires a wide variety of strengths and capabilities, including:* Advanced degree or undergraduate degree with 10+ years work experience in analytical field (e.g., Computer Science, Economics, Mathematics, Statistics, Engineering, Operations Research, Physics), data bootcamp certification, or industry experience in analytical roles (e.g., consulting, modeling, data analysis)* Deep expertise with Machine and Deep Learning -- supervised and unsupervised* Experience across broad range of modern data science and analytics tools are preferred (e.g., SQL, Hive, Hadoop, Spark, Python, R and Jupyter Notebook).* Financial service background preferred, but not required.",3.9,JPMorgan Chase & Co.,"Lewisville, TX","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),-1,0,56,97,76.5,Lewisville, TX,0,221,data scientist,n/a,0
Data Scientist,56-97 ,"Join Our Growing Team
A career with A Place for Mom is an opportunity for you to join a rapidly expanding company committed to making a difference for seniors and their families. A Place for Mom is an online platform connecting families searching for senior care services with a team of experienced advisors providing insight-driven and personalized solutions. Our mission, as the leader in senior care advisory, is to be a trusted destination for families and our community customers. We are a quickly growing organization with over 500 advisors connecting more than 300K families every year to one of our community customers.
Living by our values and working to achieve excellence on behalf of our customers is integral to success at A Place for Mom. Employees who thrive at A Place for Mom live our values every day and are an important part of our hiring practices:
Focus on Excellence
Act with Integrity & Assume Positive Intent
Drive Outcomes Every Day with Passion and A Sense of Mission
Make the Lives of our Families and Customers Better, Easier and More Successful
Realize the Full Potential in Each Team Member. Work as a Single Supportive Team
The Position
Based in New York, NY or Overland Park, KS, the Data Scientist builds prediction algorithms that help serves families and our senior living community customers more efficiently. This position will support the sales teams in our efforts to drive continued market share growth. The Data Scientist will work within the Commercial Operations team to increase efficiency and improve the customer experience through the application of statistics and machine learning. This position will support the Sales & Operations teams in our efforts to drive greater market share, improve move-in conversion and grow our bottom line.
Who You Are
You are a self-starter who is passionate about increasing efficiency and improving the customer experience through the application of statistics and machine learning. You are able to work independently and lead efforts to drive lead prioritization, customer segmentation, enhanced data analysis, experimental design & testing, business intelligence, and business reporting. You are a strong communicator and enjoy working with talented and driven people that will challenge you to reach the next level.

Incorporate APFM Values into each customer and co-worker interaction
Design implement and maintain models that optimize the customer experience and help our sales team prioritize the right leads at the right time
Develop predictive models that balance accuracy with human interpretability and help evaluate and improve the early stages of the sales funnel
Deign experiments to test the impact of models on customer conversion and other metrics
Evolve a Random Forest based model that sorts leads near the end of their journey through the sales process
Manage & monitor the day to day operation of the servers running existing models and their connection to data repositories
Develop and evaluate models that segment customers at a number of steps along the sales process, with the ultimate goal of improving the customer’s experience through segmentation
Operate and maintain tools that combine disparate data sources and are written in python and R while developing novel ways to utilize the vast amounts of data that APFM maintains
Collaborate with teams throughout APFM to identify the appropriate metrics, define effective test groups, design experiments, calculate samples sizes and evaluate the results of these tests
Investigate business problems and validate assumptions through statistical analysis
Assist the analyst team in generating reports, troubleshooting reports and pulling data to better understand Commercial Operations and Sales trends & performance
Act as the primary lead for the team’s machine learning and statistics who can define a path forward to address business questions in these areas
As the team grows and the need for statistics and machine learning increases we anticipate that the Data Scientist will manage at least one data analyst

2+ years applying statistical and machine-learning methods to solve business problems
Strong SQL skills
Strong Python programming skills; additional experience in R nice to have but not required
Experience maintaining code repositories in git
Sharp problems solving skills and strong statistics skills
Strong fundamentals and intuition in applied statistics for both prediction and explanation
Able to build, optimize, and test prediction and forecasting models
Familiarity with basic Linux tools
Able to quickly understand business problems and implement experimental designs
Able to balance analytical rigor against meeting deadlines
Knowledge of causal analysis methods
Excellent presentation, writing, and data visualization skills
Experience using AWS to implement data science workflows is a plus
Experience working with product managers and business stakeholders to build products driven by prediction models and insights from data analysis
Ability to convey machine learning and statistics concepts to non-experts
Education Requirements.
Bachelor’s degree in technical field required.
Compensation
The position is a salaried, exempt position.
#LI-AR1",2.6,A Place for Mom,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Enlivant, Sunrise Senior Living, Brookdale Senior Living",0,56,97,76.5,New York, NY,1,20,data scientist,n/a,3
Data Assimilation Research Scientist,56-97 ,"Description
The candidate will conduct research to develop
state-of-the-art data assimilation methods and algorithms, with an emphasis on
assimilating classified observations. These observations often have high
temporal or spatial density or other unique properties and will thus require
the development of specific assimilation strategies and new techniques for
assessing observation impact. She/he will conduct research for the data ingest,
selection, pre-processing, quality control and assimilation strategies for
these specialized observation data sets. Additionally, the candidate will
develop methods to assimilate these new observations, and refine the
assimilation procedures for currently assimilated observations. The candidate will focus on assimilation
strategies using the NRL Atmospheric Variational Data Assimilation System
(NAVDAS) 3D-Var and 4D-Var systems.

The candidate work will develop and implement diagnostic
methods to assess the impact of the assimilated environmental observations on
the subsequent analysis and forecasts.
She/he will develop algorithms to summarize and display the results for
system users. Additionally, she/he will employ advanced numerical and machine
learning techniques to facilitate rapid and comprehensive characterization of
the impact of the new observations on the forecast, and identify areas for
improvement in the underyling data assimilation system or in the algorithms
used to pre-process the observations.

This position requires the ability to conduct and assist
in leading-edge research on the development and application of state-of-the-art
methodologies for atmospheric data assimilation and forecasting systems and to
use these methodologies to develop next generation probabilistic prediction
systems primarily using NAVDAS-AR and Navy global and mesoscale modeling
systems.

Qualifications
Advanced degree in Environmental Sciences,
Mathematics, or related disciplines.
At least 2 years of relevant experience in
government and/or industry is preferred.
Ability to obtain and maintain a Secret security clearance.

Demonstrate extensive knowledge and experience in formulating complex problems and developing and testing of efficient algorithms related to data assimilation.
Have deep knowledge of the principles, methods, and state-of-the-art techniques used in data assimilation.
Effectively apply advanced machine learning techniques to better characterize observation errors and patterns within the data assimilation system, and implement improvements to correct any identified deficiencies.
Demonstrate extensive knowledge and experience in formulating complex problems and developing and testing of efficient algorithms related to data assimilation.
Have deep knowledge of the principles, methods, and state-of-the-art techniques used in data assimilation.
Effectively apply advanced machine learning techniques to better characterize observation errors and patterns within the data assimilation system, and implement improvements to correct any identified deficiencies.
Lead, plan, conduct, and document research on algorithm development for a portfolio of sophisticated and novel environmentally-based satellite data assimilation algorithms.
Possess in-depth knowledge of Python and MATLAB languages, and the ability to program and work in the UNIX and LINUX operating system environments.
Demonstrate the ability to communicate effectively both orally and in writing, with experience in writing theses, scientific journal articles, or manuals.",3.7,SAIC,"Monterey, CA","Reston, VA",10000+ employees,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 million (USD),"Booz Allen Hamilton, CACI International",0,56,97,76.5,Monterey, CA,0,7,other,n/a,2
Data Scientist,56-97 ,"Greetings!! This is Navya from Softpath System LLC. Softpath is a preferred nationwide staffing vendor to Fortune 500 companies in the US. We have an immediate opportunity with one of our clients. Please find the job description below and if you are interested, please forward your resume to (t.navyasoftpath.net).You mailtot.navyasoftpath.net).You can also reach me at 678-783-7477. Job Details Job title Data Scientist (10300902) Location Raleigh NC 27609 Duration 03- 06 Months Contract to Hire Job description The selected candidate will have experience using a variety of data miningdata analysis methods and tools, building and implementing models, usingcreating algorithms, and creatingrunning simulations. The ideal candidate will be adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have an ability to drive business results with their data-based insights. Basic Qualifications Must have one of the following o Bachelorrsquos degree in Computer Science, Social Sciences, Physical Sciences, Statistics, or related discipline with a minimum of 5 years of statistics experience o Masterrsquos degree in Computer Science, Social Sciences, Physical Sciences, Statistics, or related discipline with a minimum of 3 years of statistics experience Experience with customer churn and lead generation modeling. Knowledge of statistics, including sample design and probability sampling techniques, survey and experimental design, and measures of precision. Knowledge of industry developments, business practices, and technical developments to meet business needs. Ability to use computer-based data and operating systems, programming languages, and statistical packages (R, SAS, etc.) Experience working with large datasets in a Hadoop environment. Experience with SQL in Oracle and Teradata environments. Ability to provide technical guidance related to data design, data collection, and statistical analysis. Ability to communicate facts or ideas orally and in writing, when answering questions, giving directions, providing information, preparing reportspresentations, and in preparing documentation. Ability to provide relevant leadership and support to management, peers, and customers for data science best practices and procedures. Must be able to work on-site in Raleigh, NC Must be able to obtain a Position of Public Trust Clearance ndash or Permanent Resident (), and must not have traveled outside the US for a combined total of 6 months or more in last 5 years. Must have resided in the US for the last 5 years",3.9,"Softpath System, LLC.","Raleigh, NC","Norcross, GA",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,56,97,76.5,Raleigh, NC,0,21,data scientist,n/a,0
"Data Scientist, Sr Associate - Location: McLean or Washington DC",56-97 ,"Data Scientist, Sr Associate - Location: McLean or Washington DC Core Business Services Requisition # MCL004VE Post Date 22 hours ago Joinour Americas Data Enablement team andbe a partof a high-energy, fast-paced, and innovative group. In an environment wherecollaboration and openness are valuedyou will help develop and supportthe important data analytics capabilities that will deepen our understanding ofthe drivers of our business performance and inform our business decisions. Ourdata enablement initiatives span all our businesses and stakeholders. Youwill have the opportunity todeliverbreakthrough analytical solutions andwork with those businesses andfunctional areas, including but not limited to Finance, Information Technology,Human Resources, Brand Marketing and Communications, Knowledge and RiskManagement. Youwill have the opportunity to develop your career through a broad scope ofexperiences and projects, active mentoring and continuous learning. That's howwe develop outstanding leaders who team to deliver on our promises to all ourstakeholders, and in so doing, play a critical role in building a betterworking world for our people, for our clients and for our communities. Soundinteresting? Well this is just the beginning. Because whenever you join,however long you stay, the exceptional EY experience lasts a lifetime. **JobSummary:** EY is a leadingglobal professional services firm that is using data-driven solutions andcapabilities to transform our own business and the businesses of ourclients. Join an organization where you can use your most advanced skillsevery day and enjoy the satisfaction of developing impactful solutions to themost challenging business issues and opportunities. Work closely withexecutives responsible for creating and driving data driven solutions within EYand our clients. **KeyResponsibilities** As a data scientist you willwork with a team of data scientists to build econometric and machine learningmodels to identify causation and create predictability in key areas, such asrevenue forecasting, employee attrition and experience, and understanding our clients,which will provide key inputs to critical businesses processes. Underthe guidance of senior team members, you will participate in the design,development, and implementation of statistical models. You will build reports,produce insightful analytics, communicate findings and share technical subjectmatter clearly and concisely with senior business leaders. You will develop andmaintain programming for data pipeline, perform data exploration, work on modeltesting, improve model performance, and achieve model optimization. Along withteam members, you will periodically review statistical forecasts, evaluatemodel performance, and address statistical modelling issues. **Skills and Attributes for Success** We are looking for candidates who are highlymotivated, analytical thinkers with a passion for analytics and attention todetail. The ideal candidate will have strong knowledge of statistical methods(particularly time-series forecasting), and experience applying data analysistechniques to manipulate and analyze complex data from various sources. The candidate will be driven to take on challenges,have passionate curiosity,andprovide creative solutions on a widerange of business issues/topics, and be able to adapt to ambiguous and changingchallenges. The skills and attributes key to this role include: + Experience using econometric and machine learning tools forforecasting + Familiarity with open source data analysis and modelling tools(R/Python) + Ability to build data pipelines that transform multiple datasetswith real-world messiness to organized information that is fit forstatistical analysis + A passion for continuous learning + An aptitude todive deep on technical challenges and work throughambiguity to move from concept to solution + Critical thinker - practical application of advanced concepts toenhance business performance + The ability to inspire confidence in senior business leaders bysimplifying complex concepts and analysis + Passion for data, analytics, modeling and cutting-edgealgorithms **Minimum Requirements** + Master's degree in Economics, Finance, Statistics, ComputerScience or related quantitative field + Experience manipulating, transforming, and analyzing complex data + Experience in time-series econometrics for both big and small data + Experience in machine learning modelling and interpretation + Strong communication skills including the ability tocommunicate across multiple levels in the organization + At least one year of post-graduate experience + Familiarity with one or more programming languages used for datacleaning, analysis, and visualization: R, Python, Stata, SAS, Julia. **Ideal Additional Experience** + PhD in Economics, Finance, Statistics, Computer Science or relatedquantitative field + Two or more years of experience in consulting, business, orgovernment + Familiarity with SQL and common relational database tools + Familiarity with one or more common visualization tools: Tableau,Power Bi. EYprovides equal employment opportunities to applicants and employees withoutregard to race, color, religion, sex, sexual orientation, gender identity,national origin, protected veteran status, or disability status.",3.8,EY,"Mc Lean, VA","London, United Kingdom",10000+ employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (USD),"Deloitte, KPMG, PwC",0,56,97,76.5,Mc Lean, VA,0,31,data scientist,Experienced,3
Data Scientist,56-97 ,"This growing Healthcare Analytics company is hiring for a Data Scientist to join their agile team. You'll be helping work on an NLP Text Analytics Engine that powers their trademark product. The ideal candidate has professional experience in machine learning, topic modeling, algorithm development, or exploratory data analysis. Candidates should also be very comfortable with Python.

Desired experience:
2+ years of experience working as a Data Scientist, Machine Learning Engineer, or similar
2+ years of experience working with Python
Experience with machine learning packages such as Pandas, Numpy, Scikit-learn, PyCharm, PyTesseract or similar
MS or PhD in Computer Science or related fields
Bonus experience:
In depth knowledge of cloud services within AWS
Any experience building NLP topic modeling algorithms",4.8,Strategic Employment,"Boston, MA","Los Angeles, CA",51 to 200 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),-1,0,56,97,76.5,Boston, MA,0,14,data scientist,n/a,0
Senior Data Scientist,56-97 ,"Our global house-of-brands inspires and empowers youth culture. Relentlessly committed to fuel a shared passion for self-expression, we create unrivaled experiences at the heart of the sport and sneaker communities through the power of our people. If you want to be a part of something bigger than you can imagine, you've come to the right place. To learn more about the incredible impact we're making on both our local and global communities, Click Here!The Sr. Data Scientist leads the team in developing sophisticated predictive models, mining large data sets for insights, building scalable data products, and growing the overall Data Science capability at Foot Locker.In this role, you will support the organization with insights gained from analyzing company data. You must be adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. Strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations is imperative. You will use your proven ability to drive business results with data-based insights and be comfortable working with a wide range of stakeholders and functional teams. You will leverage your passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.On a Normal Day You Might:* Apply strong expertise in machine-learning, data mining, and information retrieval to design, prototype and build the next generation analytics engine and services* Understand business problems and designs end to end analytics use cases* Develop complex models and algorithms that drive innovation throughout the organization. This may include initiatives in understanding our Products, Customers, Operations, Footprint, etc.* Conduct advanced statistical analysis to provide actionable insights, identify trends, and measure performance* Collaborate with software and data engineers to implement and deploy scalable solutions* Provide thought leadership by researching best practices, conducting experiments and collaborating with industry leaders* Maintain a comprehensive understanding of the current analytical landscape, including emergent technologies and methods* Work closely with the Data Engineering and Product teams to ensure successful delivery* Continuously scan the Data Science landscape for recent developments and opportunities to ingrate new methodologies into the existing project portfolio* Mentor junior team members and provides constructive critique on specific projectsYou are Ideal because you:Hold a degree in computer science, statistics, economics, mathematics, operations research or related technical discipline. MS/PhDs are highly desired, but exceptions will be considered.Possess a proven track record of leading successful projects and driving measurable, viable results using Data Science techniques.Traits we are looking for:* You bring a Professional attitude and strong Service orientation; superb team player* You have strong business acumen and judgement combined with excellent verbal and written communication that can be used to drive our strategy throughout all levels of the organization* You Demonstrate organizational empathy while delivering results. Ability to build relationships quickly, collaborate and lead with courage will be a mustTechnical Must Haves:* Deep knowledge of machine learning, statistics, optimization or related field* Experience working in startup environment or organizations with an agile culture* Skill in writing complex SQL jobs and comfortable working with very large datasets in cloud/Hadoop based environments. Experience writing Hive and Spark jobs is a plus* Expert-level Python, Scala or similar programming skills* Excellent data visualization skills; able to determine the appropriate visualization for a variety of data types and create compelling stories with data* An advanced understanding of supervised and unsupervised learning techniques including; variable selection, feature engineering, model generation, model diagnostics, and deployment* Excellent statistical skills that are grounded in a thorough understanding of testing and frequentist/Bayesian methodologiesNice to Have:* Knowledge of cloud environments such as AWS, Azure or Google Cloud* Knowledge of Apache Spark* Understanding of SDLC collaboration, including experience with tools such as GIT* Understanding of Agile methodologies and continuous delivery",3.6,Foot Locker,"Saint Petersburg, FL","New York, NY",10000+ employees,1974,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$5 to $10 billion (USD),-1,0,56,97,76.5,Saint Petersburg, FL,0,46,data scientist,Experienced,0
Data Scientist,56-97 ,"HPOne, named CT Magazine's 2018 Great Places to Work, is looking for a Data Scientist to join our team.

The Data Scientist is responsible for collecting, cleaning, translating data to meet the company's needs. Every business collects data, whether it's sales figures, market research, logistics, or transportation costs. The Data Scientist will use that data and machine learning to help drive HPOne's business plans.

What you'll do:
Research and develop statistical learning models for data analysis
Develop insights and deliver recommendations based on data analyses
Work with business leaders to articulate business requirements for data analyses
Implement new statistical or other mathematical methodologies for specific models or analyses
Optimize joint development efforts through database use and project design
Create automated reports and dashboard products, in order to display results to internal teams
Develop end-customer segmentation schemes by analyzing customer behavior
Perform ad hoc analyses and deliver recommendations
Develop and implement predictive models like decision tree, regression using R or similar
Communicate results and ideas to key decision makers
Required Skills/Abilities:
Master's Degree in Computer Science, Statistics, Applied Math or related field
Five years' experience with SAS (or similar), ETL, data processing, database programming and data analytics
Experience in data mining and statistical analysis
Able to understand various data structures and common methods in data transformation
Excellent pattern recognition and predictive modeling skills
Experience with programming languages such as Java / Python (or ""R"")
Experience conducting regression analyses
Understanding of relational databases and data management as well as experience with data aggregation and normalization
Advanced excel expertise (pivot tables, VLOOKUP, report filters, etc.)
Ability to approach tasks strategically, while owning and mastering the details
Exceptional problem solving, as well as analytical and strategic thinking skills
Initiative to own projects from start to finish
Strong oral and written communication skills, with ability to work well with people across the company at all levels


Preferred Skills/Abilities:
Coursework in at least one of the following: mathematics, business, analytical marketing, information systems, programming/databases, statistics/statistical modeling, finance, economics, or physics
Experience conducting analyses and building predictive models using SAS (or similar)
Experience with business intelligence and data visualization tools preferred (like Domo or Tableau)
Physical Requirements:
Prolonged periods of sitting at a desk and working on a computer, typically in an office or cubicle environment (constant noise, fluorescent overhead lighting)
HPOne is an Equal Opportunity Employer:

Equal Employment Opportunity (EEO) is a fundamental principle at HPOne, where employment is based upon personal capabilities and qualifications. HPOne does not discriminate because of actual or perceived sex, sexual orientation or preference, gender identity, gender, transgender, race, color, religion, national origin, creed, citizenship status, ancestry, age, marital status, pregnancy, childbirth or related medical conditions, medical conditions including genetic characteristics, mental or physical disability, military and veteran status, or any other protected characteristic as established by law. HPOne requires the necessary drug testing and background checks as part of our pre-employment practices.",3.5,HPOne,"Trumbull, CT","Trumbull, CT",501 to 1000 employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),-1,0,56,97,76.5,Trumbull, CT,1,14,data scientist,n/a,0
Data Research Scientists,56-97 ,"CyberCube delivers the most comprehensive cyber insurance analytics platform for the insurance industry.

We are solely focused on solving the hardest cyber risk challenges with world-class analytics. Our team is composed of multi-disciplinary experts across data science, cyber security, software engineering, modeling and commercial insurance. CyberCube offers products for cyber risk aggregation modeling and insurance underwriting. CyberCube leverages the threat intelligence from the world’s leading cyber security company, Symantec, along with several other data sources.

CyberCube is headquartered in San Francisco, California. We are backed by ForgePoint Capital (the world’s largest venture capital fund dedicated to cyber security early stage investing), HSCM (premier insurance and insurtech investor) and Symantec Ventures.

Develop mathematical and statistical methods to collect, organize, and interpret data. Build and enhance analytical data models and machine learning algorithms to identify cyber risk patterns within data. May perform additional duties that are similar and consistent with stated position requirements.
Qualified candidates must possess a doctorate degree (PhD) in Mathematics, Statistics, Systems Engineering, or closely related field plus 1 year of experience. Of the required experience, must have 1 year of experience in each of the following:
Of the required experience, must have 1 year of experience in each of the following:
Big data technology
Crime assessment and prediction models
End-to-end (front-end and back-end) demonstrations of machine learning models
Natural Language Processing and Sentiment Analysis
Temporal Machine Learning Modeling
Send resume to info@cybcube.com or
CyberCube Analytics, Inc.
58 Maiden Lane, 3rd Floor
San Francisco, CA 94108

CyberCube Analytics, Inc. is an equal opportunity employer. We don’t tolerate discrimination against age, gender, gender identity, gender expression, sexual orientation, race, color, nationality, ethnicity, religion, disability, veteran status, protected genetic information or political affiliation.",5.0,CyberCube,"San Francisco, CA","San Francisco, CA",51 to 200 employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,56,97,76.5,San Francisco, CA,1,-1,other,n/a,0
